Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
12/23/1973,"Lvov, Ukraine, USSR",Aeroflot,,Tupolev TU-124,17,17,0
12/28/1973,"Durban, South Africa",Executive Funds,,Douglas DC-3,25,1,0
01-01-1974,"Near Turin, Italy",Itavia,Bologna - Torino,Fokker F-28 Fellowship 1000,42,38,0
01-06-1974,"Unduavi, Bolivia",Servicios Aéreos Boliviano,San Borja - La Paz,Curtiss C-46F,4,4,0
01-06-1974,"Johnstown, Pennsylvania",Air East,"Pittsburgh, PA - Johnstown, PA",Beechcraft 99A,17,12,0
01-06-1974,"Mukachevo, Russia",Aeroflot,,Antonov AN-24V,24,24,0
01-09-1974,"Near Nevia, Colombia",Military - Colombian Air Force,Florencia - Bogota,Hawker Siddeley HS 748-260,31,31,0
01-10-1974,"La Paz, Bolivia",TAM (Bolivia),Santa Rose - La Paz,Douglas C-54,24,24,0
01/17/1974,"Cigerdu, Colombia",Cessnyca,,Douglas DC-3A,14,14,0
01/25/1974,"Rostov, Russia",Aeroflot,,Antonov An-24B,4,4,0
01/25/1974,"Goldendale, Washington",Inland Aviation - Air Taxi,"Ephrata, WA - Portland, OR",Cessna 172L,2,2,0
01/26/1974,"Izmir, Turkey",Turkish Airlines (THY),Izmir - Istanbul,Fokker F-28 Fellowship 1000,73,66,0
01/27/1974,"S. Dominican Pueblo, New Mexico",Taos Airways - Air Taxi,"Taos, NM - Albuquerque, NM",Beechcraft J-35,3,3,0
01/28/1974,"Winger, Minnesota",Theif River Aviation - Air Taxi,"Thief River, MN - Owatonna, MN",Piper PA-28,4,4,0
01/30/1974,"Pago Pago, American Samoa",Pan American World Airways,Auckland - Pago Pago,Boeing B-707-321B,101,96,0
02-02-1974,"Near Honolulu, HI",Pan American World Airways,"San Francisco, CA - Honolulu, HI - Agana, Guam",Boeing B-747,298,1,0
02-09-1974,"Near Souda, Crete",Military - West German Air Force,,Transall C-160D,40,35,0
02-10-1974,AtlantiOcean,North Cay Air - Air Taxi,"St. Croix, VI - St. Thomas, VI",Brittonnorman BN-2A6,2,2,0
02/22/1974,"Baltimore, Maryland",Delta Air Lines,Baltimore - Atlanta,MDonnell Dougals DC-9,15,1,0
02/23/1974,"San Francisco de Moxos,  Bolivia",SAVCO,,Curtiss C-46A-45-CU,7,7,0
02/28/1974,"Near Mehrabad, Iran",Military - Imperial Iranian Air Force,,Lockheed C-130E Hercules,10,10,0
03-03-1974,"Near Ermenonville, France",Turkish Airlines (THY),Paris - London,McDonnell Douglas DC-10-10,346,346,0
03-08-1974,"Hanoi, Vietnam",Pathet Lao Airlines,,Antonov An-24,18,18,0
03-11-1974,"Carson City, Nevada",Executive Air - Air Taxi,"Carson City, NV - San Jose, CA",Robertson 414,4,4,0
03/13/1974,"Bishop, California",Sierra PacifiAirlines,Bishop - Burbank,Convair CV-440,36,36,0
03/15/1974,"Tehran, Iran",Sterling Airways,Tehran - Kobenhavn,Aerospatiale Caravelle 10B3,96,15,0
04-04-1974,"Francistown, Botswana",Wenela Air Services,Francistown - Malawi,Douglas DC-4,84,78,0
04-11-1974,"Hilo Island, Hawaii",Island Air,"Keahole, HI - Kahului, HI",Beechcraft H18S,11,11,0
04/22/1974,"Grogak, Bali, Indonesia",Pan American World Airways,"Hong Kong - Bali, Indonesia - Sydney, Austrailia",Boeing B-707-321C,107,107,0
04/24/1974,"Tashkent, Uzbekistan",Aeroflot,,Ilyushin IL-18E,115,1,0
04/27/1974,"Near Leningrad, Russia",Aeroflot,,Ilyushin IL-18B,118,118,0
04/30/1974,"Galveston, Texas",Houston Metro Airlines,"Galveston, TX - Houston, TX",Beechcraft 99,12,6,0
05-02-1974,"Banos, Ecuador",Aero Taxis Equatorianos,Pastaza - Ambato,Douglas C-47,24,22,0
05-06-1974,"Nurnberg, Germany",Fragtflug,Nice - Nurnberg,Douglas DC-6A,3,3,0
05/23/1974,"Springfield, Illinois",Saturn Airways,"Alameda, CA - Indianapolis, IN",Lockheed L-100-30 Hercules,3,3,0
05/23/1974,"Kiev, Ukraine, USSR",Aeroflot,,Yakovlev YAK-40,29,29,0
05/31/1974,"Rankin Inlet, Canada",Lambair,,Bristol 170 Freighter 31E,2,2,0
06-08-1974,"Monte San Isidro,  Colombia",Aerolineas TAO,Bucaramanga - Cucuta,Vickers Viscount 785D,44,44,0
06/27/1974,"Battambang, Khmer Republic",Cambodia Air,Battambang - Phnom Penh,Boeing 307B-1 Stratoliner,39,19,0
06/30/1974,"Umiat, Alaska",Alaska Helicopter - Air Taxi,"Umiat, AK - Local",Fairchild Hiller FH1100,5,5,0
07/24/1974,"Bogota, Colombia",Aeronorte Colombia,,Douglas DC-4,3,3,0
07/27/1974,"Near MoHoa, Vietnam",Air Amercia,Phnom Penh - Siagon,Fairchild C-123K,5,5,0
08-05-1974,"Mt. Apica, Canada",Laurentian Air Services,LaTuque - St. Honore,Douglas DC-3,11,5,0
08-09-1974,"Diemas, Syria",Military - Canadian Air Force,"Beirut, Lebanon  - Damascas, Syria",de Havilland Canada DHC-5 Buffalo,9,9,0
08-11-1974,"Near Ouagadougou, Upper Volta",Air  Mali,"Bamako, Mali - Kano, Nigeria",Ilyushin IL-18B,60,47,0
08-12-1974,"Cali, Colombia",AVIANCA,Tumaco - Bogota,Douglas C-47-DL,27,27,0
08/13/1974,"Anaktuvuk, Alaska",MerriAviation - Air Taxi,"Dietrich, AK - Happy Valley, AK",de Havilland DHC-2,4,4,0
08/14/1974,"Margarita Island, Venezuela",Linea Aeropostal Venezolana,Cumana - Porlamar,Vickers Viscount 749,49,48,0
08/18/1974,"Near La Paz, Bolivia",Military - U.S. Air Force,"Howard AFB, Panama - La Paz, Bolivia",Lockheed C-141A,7,7,0
08/18/1974,"Near Kisangani, Zaire",Military - Zairean Air Force,,Lockheed C-130H,31,31,0
09-07-1974,"Tandjung-karang, Indonesia",Garuda Indonesia Airlines,,Fokker F-27 Friendship 600,39,35,0
09-08-1974,"Ionian Sea , off Kefallinia, Greece",Trans World Airlines,Tel Aviv - Athens - Rome - New York,Boeing B-707-331B,88,88,0
09-11-1974,"Near Charlotte, North Carolina",Eastern Air Lines,"Charleston, SC - Charlotte, NC - Chicago, IL",McDonnell Douglas DC-9-31,82,70,0
09/15/1974,"Phan Rang, Vietnam",Air Vietnam (South Vietnam),Da Nang - Saigon,Boeing B-727-121C,75,75,0
09/19/1974,"Riverside, California",Riverside Air,"Las Vegas, NV - Riverside, CA",Piper PA-32,5,5,0
09/22/1974,"Fairbanks, Alaska",Frontier Flying Service - Air Taxi,"Fairbanks, AK - Dietrich, AK",Cessna 185,2,2,0
10-01-1974,"Lupine, Alaska",Winship Air Service,"Fairbanks, AK - Lupine, AK",Volpar 18,6,6,0
10-02-1974,"Off Saint Thomas, U.S. Virgin Islands",North Cay Airways,Saint Croix - Saint Thomas,Britten-Norman BN-2A Islander,2,2,0
10-09-1974,"Medfra, Alaska",Evergreen Helicopter - Air Taxi,,Bell 205A,3,3,0
10-10-1974,"Cairo, Egypt",EgyptAir,Training,Tupolev Tu-154,6,6,0
10/13/1974,Formosa Strait,Military - U.S. Air Force,,Lockheed WC-130H Hercules,6,6,0
10/17/1974,"Kassan, Alaska",Webber Airlines -Air Taxi,"Kassan, AK - Coffman Cove, AK",de Havilland DHC-2,8,5,0
10/19/1974,"Calapan, Philippines",Mabuhay Airways,,Douglas DC-3,8,1,0
10/22/1974,"Fort Apache, Arizona",Deming Flying Service - Air Taxi,"Kingman, AZ - Deming, NM",Cessna 172M,2,2,0
10/24/1974,"Blair, Oklahoma",AltusFlying Service - Air Taxi,"Dallas, TX - Altus, OK",Piper PA-31,4,2,0
10/24/1974,"Chicao, Illinois",Henry Nichols - Air Taxi,"Indianapolis, IN - Chicago, Il",Cessna 337D,3,2,0
11-09-1975,"Willow, Alaska",Willow Air Service - Air Taxi,"Willow, AK - Local",Piper PA-18,3,3,0
10/27/1974,"Old Man's Camp, Alaska",Alaska International Air,Fairbanks - Bettles,Lockheed L-100 Hercules,4,4,0
10/28/1974,"Pagosa Springs, Colorado",Hlavka Aviation - Air Taxi,"Gallup, NM - Rapid City, SD",Beechcraft 95-B55,2,2,0
10/30/1974,"Rae Point, Northwest Territories, Canada",Pan ArctiOil,,Lockheed 188PF Electra,34,32,0
11-07-1974,"Off Sonderborg, Denmark",,,Britten-Norman BN-2A Islander,3,3,0
11/15/1974,"Hoonah, Alaska",Southeast Sky - Air Taxi,"Juneau, AK - Tenakee, AK",de Havilland DHC-2,4,4,0
11/15/1974,"Manila, Philippines",Orient Air System and Integrated Services,,Douglas C-47A-30,8,1,0
11/20/1974,"Soddu, Ethiopia",Ethiopian Airlines,Soddu - Beica,Douglas DC-3,24,2,0
11/20/1974,"Near Nairobi, Kenya",Lufthansa,Nairobi - Johannesburg,Boeing B-747-130,157,59,0
11/22/1974,"Barcelona, Spain",Alpa Servicios Aéreos,,Cessna 500 Citation I,4,4,0
12-01-1974,"Bear Mountain,  Thiells, New York",Northwest Orient Airlines,"New York City, NY - Buffalo, NY",Boeing B-727-251,3,3,0
12-01-1974,"Near Berryville, Virginia",Trans World Airlines,Columbus - Washington D.C.,Boeing B-727-231,92,92,0
12-04-1974,"Near Maskeliya, Sri Lanka",Martinair Holland NV,Surabaya - Jeddah,McDonnell Douglas DC-8-55F,191,191,0
12-11-1974,"Near Old Harbors, Alaska",Kodiak Airways,"Old Harbor, AK - Kodiac, AK",Grumman G-21,5,5,0
12-12-1974,"Near MoHoa, South Vietnam",Military - Vietnamese Air Force,,Boeing Vertol CH-47 (helicopter),54,54,0
12/14/1974,"Bukhara, Uzbekistan",Aeroflot,,Yakovlev 40,7,7,0
12/22/1974,"Maturin, Venezuela",Aerovias Venezolanas SA (Venezuela),,McDonnell Douglas DC-9-14,77,77,0
12/26/1974,"Riverton Heights, Washingon",Harbor Airlines - Air Taxi,"Riverton Heights, WA - Oak Harbor, OR",Brittonorman BN-2A,6,4,0
12/29/1974,"Carpathian Mts., near Sibiu, Romania",Tarom,,Antonov AN-24RV,33,33,0
01-03-1975,"Moscow, Russia",Aeroflot,,Tupolev TU-124,61,61,0
01-03-1975,"Near Nha Trang, Vietnam",Air America,Da Lat - Nha Trang,Fairchild C-123K,9,9,0
01-05-1975,"Palmer, Washington",Richland Flying Service - Air Taxii,"Richland, WA  - Seattle, WA",Cessna TU206D,4,3,0
01-06-1975,"Sierra del Aconquija, Argentina",Military - Argentine Navy,,de Havilland Canada DHC-6 Twin Otter 200,12,12,0
01-08-1975,"Near Doncello, Colombia",SATENA,San Vicente del Caguan - Florencia,Douglas DC-3,21,21,0
01-09-1975,"Whittier, California",Golden West Airlines / Private,Ontario - Los Angeles,de Hav Can. DHC-6 Tw Otter 100/ Cessna,14,14,0
01/13/1975,"Juneau, Alaska",Channel Flying Service - Air Taxi,"Juneau, AK - Return",de Havilland DHC-2,5,5,0
01/15/1975,"Budapest, Hunary",Malev Hungarian Airlines,Berlin - Budapest,Ilyushin IL-18V,9,9,0
01/16/1975,"Sam Neva, Laos",Aeroflot,,Antonov AN-12,16,16,0
01/30/1975,"Istanbul, Turkey",Turkish Airlines (THY),Izmir - Istanbul,Fokker F-28 Fellowship 1000,42,42,0
01/30/1975,"Santo Domingo, Dominican Republic",Linea Aérea Nacional,Santo Domingo - Port-au-Prince,Douglas DC-3-313,30,1,0
02-01-1975,"Valdez, Alaska",Kenai Air Service - Air Taxi,"Kenai, AK - Gulkana, AK",Piper PA-31,2,2,0
02-01-1975,"Houston, Texas",Horizon Properties,"Lawton, OK - Huntsville, TX",Douglas DC-3C,16,5,0
02-03-1975,"Manila, Philippines",Philippine Air Lines,Manila - Iligan,Hawker Siddeley HS-748 2,33,32,0
02-09-1975,"Souda, Crete",Military - Deutsche Luftwaffe,,Transall C-160,40,40,0
02/16/1975,"Fairbanks, Alaska",PacifiAlaska Airlines,Fairbanks - Happy Valley Camp,Douglas DC-6BF,3,3,0
02/22/1975,"Medellin, Colombia",Aerocondor,"Medellin, Colombia - Miami, Florida",Canadair CL-44,5,5,0
02/27/1975,"Near Sao Paulo, Brazil",VASP,Sao Paulo - Bauru,Embraer 110C Bandeirante,15,15,0
03-05-1975,"Waterford, Wisconsin",Burlington Air - Air Taxi,"Moline, IL - Racine IL",Beechcraft 95,4,2,0
03-12-1975,"Pleiku, South Vietnam",Air Vietnam (South Vietnam),,Douglas DC-4,26,26,0
03/16/1975,"Near Barito, Argentina",Military - Argentine Air Force,El Palomar AB - San Carlos de Bariloche,Fokker F-27 Friendship 400M,55,55,0
03/18/1975,"Singa, Sudan",Sudan Airways,,de Havilland Canada DHC-6 Twin Otter 100,6,5,0
03/20/1975,"Near Quilcene, Washington",Military - U.S. Air Force,Clark AFB - Japan,Lockheed C-141A (L.300),16,16,0
04-04-1975,"Saigon, Vietnam",Military - U.S. Air Force,Tan Son AFB - Clark AFB,Lockheed C-5A Galaxy,330,155,0
04/22/1975,"Goleta, California",Skips Air Service - Air Taxi,"Fresno, CA - Santa Barbara, CA",Cessna 310Q,3,3,0
04/28/1975,"Deadhorse, Alaska",Gay Airways - Air Taxi,"Anaktuvak, AK - Deadhorse, AK",Bell 206,4,2,0
05-03-1975,"Near Sardinata, Colombia",SATENA,Ocana - Cucuta,Douglas DC-3,6,3,0
05-10-1975,"Off Cape Paterson, Australia",Air Express,,Bristol 170 Freighter 21E,2,2,0
05-12-1975,"Savoonga, Alaska",Foster Aviation,"Savoonga, AK - Gambell, AK",Piper PA-23-250,6,6,0
05/13/1975,"Near Sakon Nakhon, Thailand",Military - U.S. Air Force,Nakhom Phanom AB - Utapao AB,Sikorsky CH-53C (helicopter),23,23,0
06-03-1975,"Manila, Philippines",Philippine Air Lines,Legaspi - Manilla,BAC One-Eleven 524FF,64,1,0
06/17/1975,"Pedro Alfonso, Brazil",Varig,,Hawker Siddeley HS-748-235 Srs. 2A,15,1,3
06/24/1975,"JFK Airport, New York, New York",Eastern Air Lines,New Orleans - New York City,Boeing B-727-225,124,113,0
06/26/1975,"Toledo, Ohio",Hamilton Aviation,"Detroit, MI - Peducah, KY",Beechcraft E18S,2,2,0
06/30/1975,"Near Saravena, Colombia",Taxi Aereo El Venado,Cucuta - Tame,Douglas DC-4,3,3,0
07-02-1975,"Nantes, France",Touraine Air Transport,Nantes - Brest,Beechcraft 99,8,8,0
07-03-1975,"Near Colina, Chile",Military - Chilian Air Force,,Douglas C-47A,10,10,0
07-10-1975,"Bogota, Colombia",Aerovias Condor,Bogota  - Barranquilla,Lockheed L-188AF Electra,4,2,0
07-10-1975,"Homer, Alaska",Homer Air Service - Air Taxi,"Homer, AK - Local",Piper PA-18,2,2,0
07/15/1975,"Poway, California",Oceanaire Helicopter - Air Taxi,"Poway, CA - Pomona, CA",Bell 206B,4,4,0
07/15/1975,"Near Batumi, Georgia, USSR",Aeroflot,,Yakovlev YAK-40,41,41,0
07/26/1975,"Imlay City, Michigan",Military - U.S. Air Force,Exercise,Lockheed C-130A Hercules,6,6,0
07/31/1975,"Taipei, Taiwan",Far Eastern Air Transport,Hualien - Taipei,Vickers 837 Viscount,76,28,0
08-03-1975,"Near Immouzer, Morocco",Alia Royal Jordanian Airlines,Paris - Agadir,Boeing B-707-321C,188,188,0
08-03-1975,"Off Amapala, Honduras",Military - Nicaraguan Air Force,Veracruz - Managua,Douglas DC-47,20,20,0
08-07-1975,"Denver, Colorado",Continental Airlines,Denver - Wichita,Boeing B-727-224,131,0,0
08/15/1975,"Krasnovodsk, USSR",Aeroflot,,Yakovlev YAK-40,28,28,0
08/20/1975,"Near Damascus, Syria",Ceskoslovenske Aerolinie,"Prague, Czechoslovakia - Damascus, Syria",Ilyushin IL-62,128,126,0
08/25/1975,"Minford, Ohio",Portsmouth Aviation - Air Taxi,"Monticello, NY - Portsmoutn, OH",Piper PA-28,4,2,0
08/30/1975,"Off Punta Amapala, El Salvador",Military - Nicaraguan Air Force,,Douglas C-47,20,20,0
08/30/1975,"Near Gambell, Alaska",Wien Air Alaska,Nome - Gambell,Fairchild F-27B,32,10,0
09-01-1975,"Leipzig-Halle, East Germany",Interflug,Stuttgart - Leipzig,Tupolev TU-134,34,26,0
09-11-1975,"Near Bahar Dar, Ethiopia",Ethiopian Airlines,Bahar Dar - Debra Marcos,Douglas C-47-DL,9,1,0
09/24/1975,"Near Palembang, Indonesia",Garuda Indonesia Airlines,Jakarta - Palembang,Fokker F-28 Fellowship 1000,61,25,1
09/30/1975,"Off Beirut, Lebanon",Malev Hungarian Airlines,"Budapest - Beirut, Lebanon",Tupolev TU-154B,60,60,0
09/30/1975,"Klua Tan Tan, Canada",Northern Thunderbird Air,Prince George - Dease Lake,de Havilland Canada DHC-6 Twin Otter 200,7,7,0
09/30/1975,"Barranquilla, Colombia",AVIANCA,Bogota - Barranquilla,Boeing 727-24C,4,4,0
10/23/1975,"Cairns Airport, Queensland, Australia",Connair,Mount Isa - Cairns,de Havilland DH114 Heron 2E,11,11,0
10/26/1975,"Zephyr Cove, Nevada",Air Taxi,"Las Vegas, NV - So. Lake Tahoe, CA",Piper PA-34,2,2,0
10/27/1975,"Tomonoco, Bolivia",TAM (Bolivia),Tomonoco - La Paz,Convair CV-440-12,67,67,0
10/30/1975,"Near Prague, Czechoslovakia",Inex Adria Aviopromet,Tivat - Praha,McDonnell Douglas DC-9-32,120,75,0
11-03-1975,Gulf of Mexico,Petroleum Helicopter,,Bell 212,9,9,0
11-07-1975,"State College, Pennsylvania",Quakertown Aviation - Air Taxi,"Latrobe, PA - State College, PA",NA Rockwell 112,4,4,0
11/18/1975,"Caoba, Guatemala",Aviateca,Uaxactun - Flores,Douglas DC-3,22,15,0
11/20/1975,"Kharkov, Ukraine, USSR",Aeroflot,,Antonov AN-24,19,19,0
11/22/1975,Near Novgorod (Russia,Aeroflot,,Yakovlev 40,6,6,5
11/22/1975,"Sofia, Bulgaria",Balkan Bulgarian Airlines,Sofia - Varna,Antonov AN-24B,48,3,0
11/25/1975,"Near Bir Lahfan, Egypt",Military - Israel  Air Force,,Lockheed C-130 Hercules,20,20,0
11/29/1975,"Hertfordshire, England",Private,,Piper PA-23-250 Aztec,6,6,0
11/30/1975,"Elko, Nevada",SceniAirline - Air Taxi,"Ely, NV - Elko, NV",Cessna 402,2,2,0
12/21/1975,"Tacloban, Philippines",Philippine Aerotransport,,Britten-Norman BN-2A-21 Islander,9,9,0
12/26/1975,"Rollinsville, Colorado",Star Aviation,"Denver, CO - Grandby, CO",Mitsubishi MU-2B,9,9,0
01-01-1976,"Near Al Qaysumah, Saudi Arabia",Middle East Airlines,Beirut - Dubai,Boeing B-720B-023B,82,82,0
01-03-1976,"Moscow, Russia",Aeroflot,Moscow - Vnukovo,Tupolev TU-124,61,61,0
01-03-1976,"Anchorage, Alaska",Winship Air,"Anchorage, AK - Deadhorse, AK",Lear Jet 24A,6,6,0
01-06-1976,"Grants, New Mexico",Orlando Airways - Air Taxi,"Albuquerque, NM - Gallup, NM",Piper PA-23,4,4,0
01-08-1976,"Mactan Island, Philippines",Philippine Aerotransport,,Britten-Norman BN-2A-21 Islander,7,7,0
01/15/1976,"Near Bogota, Colombia",Taxi Aereo el Venado,Bogota - La Macarene,Douglas C-54A,13,13,0
01/15/1976,"Orofino, Idaho",Green Acres - Air Taxi,"Butte, MT - Kooskia, ID",Bellanca 17-30,3,3,0
01/18/1976,"Near San Borja, Bolivia",Frigorifico Maniqui,,Douglas C-47,10,7,0
01/20/1976,"Near Loja, Ecuador",TAME,Loja - Guayaquil,Hawker Siddeley HS-748-246,42,34,0
01/21/1976,"Near Shanghai, China",CAAC,Guangzhou - Changsha,Antonov AN-24,40,40,0
01/22/1976,"Chapeco, Brazil",Transbrasil,,Embraer 110C Bandeirante,11,9,0
01/30/1976,"Frunze, Kyrgyzstan",Aeroflot,Training,Ilyushin IL-18V,6,6,0
02-03-1976,"Lafayette, Louisiana",Falcon Airways - Air Taxi,"Lafayette, LA - Patterson, LA",Beechcraft  C-45H,2,2,0
02-04-1976,"Off Santa Maria, Colombia",LAC Colombia,Santa Maria - Curacao,Douglas DC-6A,3,3,0
02-06-1976,"Madrid, Spain",Military - U.S. Air Force,"Mildenhall, England - Torrejon AFB",Boeing KC-135A,7,7,0
09-02-1976,"Hawk Inlet, Alaska",Temsco Helicopter - Air Taxi,,Hughes 369HS,4,3,0
02-08-1976,"Van Nuys, California",Mercer Airlines,Burbank - Ontario,Douglas DC-6,6,3,0
02-09-1976,"Irkutsk, Russia",Aeroflot,,Tupolev TU-104A,24,24,0
02/21/1976,"St. Croix, Virgin Islands",Antilles Air,"St. Thomas, VI - St. Croix, VI",Grumman G-21A seaplane,11,5,0
03-01-1976,"Sibiu, Romania",Tarom,,Ilyushin II-14P,9,6,0
03-02-1976,Southeastern Bolivia,TAM (Bolivia),Camiri - Itaguasurenda,IAI Arava 201,22,19,0
03-06-1976,"Near Voronezh, Russia",Aeroflot,Moscow - Yerevan,Ilyushin IL-18D,120,120,7
03-07-1976,"Igiugig, Alaska",Kodiak Western Alaska Airlines,"South Nanek, AK - Dillingham, AK",Cessna 207,4,4,0
03-07-1976,"San Onofre, California",Sky Haven - Air Taxi,"Palm Springs, CA - Santa Ana, CA",Cessna 172M,2,2,0
03/18/1976,Havana. Cuba,Cubana de Aviacion,Training,Antonov An-24B,5,5,0
04-02-1976,"Near Puerto Asis, Colombia",SATENA,Florencia - Puerto Asis,Douglas DC-3,16,5,0
04-05-1976,"Ketchikan, Alaska",Alaska Airlines,Juneau - Ketchikan,Boeing B-727-81,50,1,0
04-08-1976,"Friday Harbor, Washington",North Sound Aviation,"Burlington, WA - Friday Harbor, WA",Cessna 207,7,7,0
04-08-1976,"Aspen, Colorado",Royal American - Air Taxi,"Denver, CO - Aspen, CO",Beechcraft A36,2,2,0
04/14/1976,"Neuquen, Argentina",Yacimientos Petroliferos Fiscales,,Hawker Siddeley HS-748 2,34,34,0
04/15/1976,"Palm Desert, California",Chartair - Air Taxi,"San Diego, CA - Palm Desert, CA",Beech B60,6,6,0
04/23/1976,Gulf of Mexico,Petroleum Helicopter,,Bell 205 A-1 helicopter,12,12,0
04/27/1976,"Anaktuvuk, Alaska",Frontier Flying Service - Air Taxi,"Anaktuvuk, AK - Bettles, AK",Cessna 207,5,5,0
04/27/1976,"St. Thomas, Virgin Islands",American Airlines,New York City - Saint Thomas,Boeing B-727-95,88,37,0
05-04-1976,"Near Monze, Zambia",de Havilland Aircraft,,de Havilland Canada DHC-6 Twin Otter 300,11,11,0
05-05-1976,"Camuigan, Philippines",Philippine Aerotransport,,Britten-Norman BN-2A-21 Islander,10,4,0
11/23/1976,"Kozani, Greece",OlympiAirways,Athens - Larisa,NAMC YS-11A-500,50,50,0
05-09-1976,"Near Cuneca, Spain",Military - Imperial Iranian Air Force,"Terhan, Iran - Madrid, Spain - McGuire AFB, New Jersey",Boeing B-747-131F,17,17,0
05/15/1976,"Chernigov, Ukraine, USSR",Aeroflot,,Antonov AN-24,52,52,0
05/18/1976,"Petersburg, Alaska",Lab Flying Service - Air Taxi,"Haines, AK - Wrangell, AK",Piper PA-34,6,6,0
05/23/1976,"Zamboanga, Philipines",Philippine Air Lines,Davao - Manila,BAC One-Eleven 527FK,87,14,3
06-01-1976,"Nacias Nguema, Equatorial Guinea",Aeroflot,Luanda - Moscow,Tupolev TU-154A,46,46,0
06-04-1976,"Agana, Guam",Air Manila,Wake Island - Guam - Manila,Lockheed 188A Electra,45,45,1
06-06-1976,"Off Kota Kinabalu, Malaysia",Sabah Air,,GAF Nomad N-22B,12,12,0
06-10-1976,"Somerset, Colorado",Sky Chopper  - Air Taxi,"Grand Junction, CO - Somerset, CO",Bell 47G3B1,2,2,0
06/27/1976,"Entebbe, Uganda",Air France,Tel-Aviv - Athens - Paris,Airbus A300,258,7,0
07-05-1976,"Daiku, Burma",Military - Burma Air Force,,Douglas C-47,17,17,0
07/24/1976,"Huntsville, Missouri",Reed Aviation - Air Taxi,,Piper PA-28R,5,5,0
07/27/1976,"Greensburg, Kansas",Capitol Air Service - Air Taxi,"Ulysses, KS - Greensburg, KS",Piper PA-34,3,2,0
07/28/1976,"Bratislava, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Bratislava,Ilyushin IL-18L,79,76,0
08-01-1976,"Billings, Vermont",Mamer - Shreck  - Air Taxi,"Billings, MT - Cody, WY",Beechcraft S35,4,3,0
08-02-1976,"Near Tehran, Iran",Korean Airlines,"Tehran, Iran - Seoul, Korea",Boeing 707-373,5,5,0
08-09-1976,,Military - Spanish Air Force,Moron - Canary Islands,Douglas C-54E,33,11,0
08/15/1976,"Andes Mountains, Ecuador",SAETA,Quito - Cuenca,Vickers Viscount 785D,59,59,0
08/25/1976,"Sunnyside, Utah",Green River Aviation - Air Taxi,"Sunnyside, UT - Salt Lake City, UT",Cessna 185,3,3,0
08/28/1976,"Shanisu River, Peru",Aeroperu,Lima - Caracas,Canadair CL-44,6,6,0
08/28/1976,"Sondre Stromfjord,Greenland",Military - U.S. Air Force,Thule AB - Sondrestrom AB,Lockheed C-141A (L.300),27,23,0
08/28/1976,"Near Thorney, England",Military - U.S. Air Force,McGuire AFB - Mildenhall RAF,Lockheed C-141A (L.300),18,18,0
08/28/1976,"Ho Chi Minh City, Vietnam",Air France,Ho Chi Minh City - Bangkok,Sud Aviation SE 210 Caravelle III,20,1,0
09-03-1976,"Lajes, Azores, Portugal",Military - Venezuelan Air Force,Caracas - Praira da Vitoria,Lockheed C-130H,68,68,0
09-03-1976,"Timmins, Ontario, Canada",Austin Airways,Moosonee - Timmins,de Havilland Canada DHC-3 Otter,10,10,0
09-09-1976,"Off Adler, Russia",Aeroflot / Aeroflot,Donetsk - Sochi /Rostov na Donu - Kerch,Antonov AN-24 / Yakovlev Yak-40,90,90,0
09-10-1976,"Near Gaj, Hrvatska, Yugoslavia",Inex Adria Aviopromet / British Airways,Split - Koln / London - Istanbul,McDonnell Douglas DC-9-31 / Trident 3B,176,176,0
09/19/1976,"Karatepe Mountains, Turkey",Turkish Airlines (THY),Istanbul - Antalya,Boeing B-727-2F2,154,154,0
09/22/1976,"Near Mosher Creek, Canada",Air West Airlines Ltd.,,de Havilland Canada DHC-6 Twin Otter 100,19,1,0
09/22/1976,"San Bernardino, California",Loma Linda University - Air Taxi,"Dagget, CA - Loma Linda, CA",Sikorsky S-55B,4,4,0
09/26/1976,"Near Alpena, Michigan",Military - U.S. Air Force,,Boeing KC-135A,20,15,0
10-04-1976,"Nairobi, Kenya",Emirates Air Transport,,Douglas DC-7CF,4,4,0
10-06-1976,"Off Bridgetown, Barbados",Cubana de Aviacion,Bridgetown - Kingston,McDonnell Douglas DC-8-43,73,73,0
10-09-1976,"Busick, North Carolina",Aero National - Air Taxi,"Greensville, NC - Philadelphia, PA",Piper PA-34,4,4,0
10/13/1976,"Near Bombay, India",Indian Airlines,Mumbai - Chennai,Sud-Aviation Caravelle VI-N,95,95,0
10/13/1976,"Santa Cruz, Bolivia",Lloyd Aéreo Boliviano,Santa Cruz - Viru,Boeing B-707-31,3,3,113
10/20/1976,"Hampton, Virginia",Skyline Aviation - Air Taxi,"Washington D.C. - Baltimore, MD",Piper PA-31,4,4,0
10/25/1976,"El Yopal, Colombia",Taxi Aereo el Venado,Villavicencio - Cucuta,Douglas C-47DL,32,32,0
10/28/1976,"Near Petrolia, Brazil",Nordeste Linhas Aéreas,,Embraer 110C Bandeirante,6,2,0
11-04-1976,"Banjarmasin, Indonesia",Bali International Air Service,,Fokker F-27 Friendship 100,38,29,0
11-05-1976,AtlantiOcean,Inair Panama,Curacao - Port-au-Prince,Douglas DC-3,2,2,0
11-12-1976,"Shannon, Ireland",Aeroleasing - Air Taxi,"Shannon, Ireland - Geneva, Switzerland",Piper PA-31T,5,5,0
